"Comment","Designator","Footprint","LCSC Part #"
"10uF","C1,C12,C13,C14,C15,C31,C32,C34,C35","C_0805_2012Metric","C15850"
"10µF","C2,C3","C_0805_2012Metric","C440198"
"10nF","C4","C_0805_2012Metric","C83170"
"100µF","C5","C_Elec_5x5.4","C3001205"
"10uF","C6,C7","C_0805_2012Metric","C519978"
"22uF","C8","C_0603_1608Metric","C106222"
"100nF","C9,C11,C17,C18,C27,C29,C33","C_0603_1608Metric","C30926"
"1uF","C10,C20,C25,C28,C30","C_0805_2012Metric","C519978"
"1uF","C16,C19,C21,C22,C23,C24,C26","C_0603_1608Metric","C15849"
"150uF","C36,C37,C38,C39","CP_Elec_8x10","C38513"
"1nF","C40,C41,C42,C43","C_0603_1608Metric","C100040"
"22nF","C44,C45","C_0603_1608Metric","C106222"
"5V TVS","D2","D_SOD-323","C384858"
"SS24FL","D3","D_SOD-123F","C489144"
"Prot.ADC","D4","D_SOD-323","C384865"
"16V","D5,D6","D_SOD-323","C353553"
"27V","D7","D_SOD-523","C490617"
"STEMMA QT","J1","JST_SH_SM04B-SRSS-TB_1x04-1MP_P1.00mm_Horizontal","C160404"
"47µH","L1","L_10.4x10.4_H4.8","C216171"
"VBA4658","Q1","SO-8_3.9x4.9mm_P1.27mm","C416242"
"Q_PMOS_GSD","Q2","SOT-23","C102608"
"10K","R6,R7,R12,R16,R17,R20","R_0603_1608Metric","C25804"
"2K","R8,R22,R24","R_0603_1608Metric","C2907022"
"3.2K","R11,R23","R_0603_1608Metric","C666977"
"650K","R13","R_0603_1608Metric","C101151"
"100K","R14","R_0603_1608Metric","C25803"
"10KΩ","R15,R18","R_0603_1608Metric","C25804"
"100K","R21,R25","R_0603_1608Metric","C2906980"
"100KΩ","R26","R_0603_1608Metric","C25803"
"TPS5430DDA","U1","TI_SO-PowerPAD-8_ThermalVias","C9864"
"ZD24C08AE1","U2","SOT-23-5","C3007877"
"XC6220B331MR","U3","SOT-23-5","C86534"
